SA2_CODE_2021,PT_Total,Commuted_Total,PT_percent
201011001,67,6244,1.0730301089045484
201011002,71,3949,1.7979235249430237
201011005,33,2317,1.4242555028053518
201011006,46,4019,1.1445633242100024
201011007,6,1633,0.3674219228413962
201011008,57,4966,1.147805074506645
201011481,75,3096,2.422480620155039
201011482,60,5204,1.1529592621060722
201011483,78,4057,1.9226029085531182
201011484,63,4174,1.5093435553425971
201021009,38,2186,1.738334858188472
201021010,19,2419,0.7854485324514262
201021011,8,2564,0.31201248049922
201021012,31,2207,1.4046216583597644
201031013,3,964,0.3112033195020747
201031014,3,1363,0.22010271460014674
201031015,17,1599,1.0631644777986242
201031016,0,2320,0.0
201031017,8,1532,0.5221932114882507
202011018,85,5115,1.6617790811339197
202011019,49,4465,1.0974244120940648
202011020,76,4710,1.6135881104033971
202011021,69,3337,2.0677255019478573
202011022,124,6995,1.7726947819871337
202011023,12,2163,0.5547850208044383
202011024,22,3764,0.5844845908607864
202011025,65,5299,1.2266465370824684
202021026,6,3085,0.1944894651539708
202021027,93,2806,3.3143264433357094
202021028,34,2660,1.2781954887218046
202021029,12,1412,0.84985835694051
202021030,57,3056,1.8651832460732982
202021031,64,1995,3.208020050125313
202031032,3,1628,0.18427518427518427
202031033,7,2066,0.3388189738625363
203011034,17,2799,0.6073597713469097
203011035,23,2856,0.8053221288515405
203011036,23,2261,1.017249004865104
203021037,144,5099,2.8240831535595214
203021039,188,4781,3.9322317506797737
203021040,214,7614,2.8106120304701867
203021042,172,8006,2.1483887084686484
203021043,212,7063,3.001557411864647
203021044,71,4738,1.49852258336851
203021045,123,5095,2.4141315014720317
203021046,76,3399,2.2359517505148574
203021047,154,5188,2.9683885890516577
203021485,81,4042,2.003958436417615
203021486,176,5887,2.9896381858331917
203021487,214,8877,2.4107243438098456
203021488,117,2501,4.6781287485006
203031048,74,5354,1.382144191258872
203031049,8,1617,0.49474335188620905
203031051,27,2221,1.2156686177397569
203031052,8,1195,0.6694560669456067
203031053,61,7322,0.8331057088227259
203031489,52,3727,1.395224040783472
203031490,43,5804,0.740868366643694
204011054,16,2086,0.7670182166826461
204011055,0,1994,0.0
204011056,73,5305,1.3760603204524036
204011057,16,3469,0.46122801960219084
204011058,15,1526,0.9829619921363041
204011059,19,2152,0.8828996282527881
204011060,3,1802,0.1664816870144284
204011061,0,60,0.0
204011062,4,1199,0.3336113427856547
204021063,17,3484,0.4879448909299655
204021064,3,1257,0.23866348448687352
204021065,3,1457,0.20590253946465342
204021066,19,7211,0.26348634031341006
204021067,18,3588,0.5016722408026756
