Station,Entries,Latitude,Longitude,Year
Aircraft,234300,-37.86660595,144.7608094,2023
Aircraft,248850,-37.86660595,144.7608094,2024
Alamein,91500,-37.86832039,145.0796557,2023
Alamein,96200,-37.86832039,145.0796557,2024
Albion,433100,-37.77765281,144.8247036,2023
Albion,413900,-37.77765281,144.8247036,2024
Alphington,244050,-37.77839363,145.0312549,2023
Alphington,249100,-37.77839363,145.0312549,2024
Altona,260350,-37.8671476,144.8296447,2023
Altona,263300,-37.8671476,144.8296447,2024
Anstey,358900,-37.76124203,144.960684,2023
Anstey,365100,-37.76124203,144.960684,2024
Armadale,413300,-37.85645238,145.0193255,2023
Armadale,469600,-37.85645238,145.0193255,2024
Ascot Vale,474300,-37.77530609,144.9218207,2023
Ascot Vale,491400,-37.77530609,144.9218207,2024
Ashburton,194250,-37.86196753,145.0813438,2023
Ashburton,201950,-37.86196753,145.0813438,2024
Aspendale,156950,-38.02722019,145.1021496,2023
Aspendale,169500,-38.02722019,145.1021496,2024
Auburn,626150,-37.82239831,145.0458437,2023
Auburn,650000,-37.82239831,145.0458437,2024
Balaclava,416700,-37.86948773,144.9935121,2020
Balaclava,787700,-37.86948773,144.9935121,2023
Balaclava,752350,-37.86948773,144.9935121,2024
Batman,222650,-37.73352285,144.9628406,2023
Batman,228750,-37.73352285,144.9628406,2024
Baxter,2550,-38.19404306,145.1605261,2023
Baxter,2500,-38.19404306,145.1605261,2024
Bayswater,385400,-37.84173004,145.2681364,2023
Bayswater,446150,-37.84173004,145.2681364,2024
Beaconsfield,174000,-38.05083135,145.3660737,2023
Beaconsfield,199950,-38.05083135,145.3660737,2024
Belgrave,223050,-37.9091021,145.3552913,2023
Belgrave,283100,-37.9091021,145.3552913,2024
Bell,385100,-37.74556212,145.000155,2023
Bell,412250,-37.74556212,145.000155,2024
Bentleigh,509100,-37.91742457,145.0369951,2023
Bentleigh,586000,-37.91742457,145.0369951,2024
Berwick,361200,-38.04040829,145.3457261,2020
Berwick,948200,-38.04040829,145.3457261,2023
Berwick,1008200,-38.04040829,145.3457261,2024
Bittern,7850,-38.33739032,145.1780265,2023
Bittern,8800,-38.33739032,145.1780265,2024
Blackburn,533050,-37.82007075,145.1500135,2020
Blackburn,1230050,-37.82007075,145.1500135,2023
Blackburn,1206950,-37.82007075,145.1500135,2024
Bonbeach,134500,-38.06294478,145.1196804,2023
Bonbeach,141600,-38.06294478,145.1196804,2024
Boronia,380550,-37.8604518,145.2843851,2023
Boronia,462850,-37.8604518,145.2843851,2024
Box Hill,1192700,-37.81922165,145.1214289,2020
Box Hill,2535000,-37.81922165,145.1214289,2023
Box Hill,2648350,-37.81922165,145.1214289,2024
Brighton Beach,393350,-37.92648432,144.9891536,2023
Brighton Beach,332650,-37.92648432,144.9891536,2024
Broadmeadows,395750,-37.68304926,144.9196132,2020
Broadmeadows,874950,-37.68304926,144.9196132,2023
Broadmeadows,878300,-37.68304926,144.9196132,2024
Brunswick,326950,-37.76772055,144.9595865,2023
Brunswick,350600,-37.76772055,144.9595865,2024
Burnley,730000,-37.82756022,145.0075551,2023
Burnley,881250,-37.82756022,145.0075551,2024
Burwood,214050,-37.85156328,145.0805111,2023
Burwood,221250,-37.85156328,145.0805111,2024
Camberwell,641150,-37.82656714,145.0586972,2020
Camberwell,1241500,-37.82656714,145.0586972,2023
Camberwell,1260400,-37.82656714,145.0586972,2024
Canterbury,246900,-37.82448518,145.0812242,2023
Canterbury,268450,-37.82448518,145.0812242,2024
Cardinia Road,360500,-38.07129047,145.437791,2023
Cardinia Road,405950,-38.07129047,145.437791,2024
Carnegie,460850,-37.88624148,145.0585751,2020
Carnegie,993800,-37.88624148,145.0585751,2023
Carnegie,1015400,-37.88624148,145.0585751,2024
Carrum,322800,-38.07489292,145.1224183,2023
Carrum,343700,-38.07489292,145.1224183,2024
Caulfield,1370650,-37.87745946,145.0425248,2020
Caulfield,2909850,-37.87745946,145.0425248,2023
Caulfield,3205100,-37.87745946,145.0425248,2024
Chatham,175600,-37.82429952,145.0886479,2023
Chatham,183300,-37.82429952,145.0886479,2024
Chelsea,340500,-38.05195538,145.1160413,2023
Chelsea,352250,-38.05195538,145.1160413,2024
Cheltenham,629500,-37.96664989,145.0545579,2023
Cheltenham,717500,-37.96664989,145.0545579,2024
Clayton,796650,-37.92468255,145.1205344,2020
Clayton,1535450,-37.92468255,145.1205344,2023
Clayton,1514000,-37.92468255,145.1205344,2024
Clifton Hill,779150,-37.78865745,144.9954167,2023
Clifton Hill,719300,-37.78865745,144.9954167,2024
Coburg,498850,-37.74234502,144.9633363,2023
Coburg,511300,-37.74234502,144.9633363,2024
Collingwood,488050,-37.80452593,144.9937497,2023
Collingwood,487500,-37.80452593,144.9937497,2024
Coolaroo,253750,-37.66100253,144.9260556,2023
Coolaroo,281400,-37.66100253,144.9260556,2024
Craigieburn,560500,-37.6018169,144.9433203,2020
Craigieburn,1418700,-37.6018169,144.9433203,2023
Craigieburn,1508250,-37.6018169,144.9433203,2024
